episode,proxy_reward,true_reward,avg_angle,avg_last_50
1,35.26,18.0,0.06391,35.26
2,27.58,14.0,0.06465,31.42
3,27.23,11.0,0.09839,30.02
4,56.84,30.0,0.05964,36.73
5,36.99,15.0,0.09772,36.78
6,29.19,12.0,0.09548,35.51
7,47.24,19.0,0.09907,37.19
8,27.09,10.0,0.11394,35.93
9,25.93,11.0,0.09049,34.81
10,29.11,11.0,0.10973,34.24
11,29.59,13.0,0.08506,33.82
12,42.22,21.0,0.06736,34.52
13,24.61,11.0,0.08246,33.76
14,57.96,28.0,0.07134,35.49
15,52.6,29.0,0.05424,36.63
16,39.03,16.0,0.09597,36.78
17,27.53,15.0,0.05569,36.23
18,25.83,10.0,0.10553,35.66
19,51.05,26.0,0.06422,36.47
20,23.49,9.0,0.10733,35.82
21,28.54,12.0,0.09187,35.47
22,29.71,12.0,0.09838,35.21
23,34.27,20.0,0.04758,35.17
24,31.93,15.0,0.07526,35.03
25,53.59,30.0,0.05242,35.78
26,60.31,28.0,0.07693,36.72
27,60.16,33.0,0.05487,37.59
28,23.93,10.0,0.09289,37.1
29,27.76,12.0,0.08758,36.78
30,44.0,20.0,0.07999,37.02
31,44.0,17.0,0.10589,37.24
32,41.31,19.0,0.07827,37.37
33,34.43,19.0,0.05413,37.28
34,40.8,16.0,0.10335,37.38
35,22.91,11.0,0.07217,36.97
36,62.68,23.0,0.11502,37.69
37,39.68,17.0,0.08894,37.74
38,55.1,23.0,0.09305,38.2
39,198.9,91.0,0.07905,42.32
40,52.72,25.0,0.07392,42.58
41,55.5,25.0,0.08134,42.89
42,159.96,83.0,0.06181,45.68
43,52.47,24.0,0.07909,45.84
44,28.7,11.0,0.10724,45.45
45,30.31,11.0,0.11704,45.11
46,43.11,21.0,0.0702,45.07
47,34.03,14.0,0.0954,44.83
48,50.64,19.0,0.11101,44.95
49,30.58,13.0,0.09016,44.66
50,68.46,26.0,0.10886,45.14
51,38.97,17.0,0.08614,45.21
52,28.9,12.0,0.09387,45.24
53,39.67,18.0,0.08024,45.49
54,47.37,21.0,0.08372,45.3
55,138.52,58.0,0.09255,47.33
56,75.04,39.0,0.06161,48.24
57,29.98,13.0,0.08708,47.9
58,36.21,16.0,0.0842,48.08
59,23.96,10.0,0.09304,48.04
60,31.46,15.0,0.07316,48.09
61,52.62,18.0,0.12823,48.55
62,51.29,19.0,0.11329,48.73
63,29.51,12.0,0.09727,48.83
64,33.65,14.0,0.09359,48.34
65,32.61,16.0,0.06921,47.94
66,26.72,11.0,0.09528,47.7
67,35.04,18.0,0.06311,47.85
68,45.41,25.0,0.05443,48.24
69,63.97,31.0,0.07091,48.5
70,48.04,23.0,0.07257,48.99
71,33.31,15.0,0.08136,49.08
72,31.68,13.0,0.0958,49.12
73,49.55,21.0,0.09065,49.43
74,41.41,16.0,0.10586,49.62
75,67.93,33.0,0.07057,49.91
76,31.46,12.0,0.10809,49.33
77,34.01,14.0,0.09531,48.81
78,61.36,31.0,0.06529,49.55
79,35.89,19.0,0.05926,49.72
80,36.37,17.0,0.07598,49.56
81,25.26,9.0,0.12046,49.19
82,44.26,24.0,0.05627,49.25
83,32.77,12.0,0.11537,49.21
84,33.96,17.0,0.06652,49.08
85,58.71,30.0,0.0638,49.79
86,56.51,27.0,0.07286,49.67
87,35.31,14.0,0.10146,49.58
88,33.31,14.0,0.09195,49.15
89,51.43,28.0,0.05578,46.2
90,37.26,13.0,0.1244,45.89
91,43.28,19.0,0.0852,45.64
92,34.61,19.0,0.05477,43.14
93,57.65,26.0,0.08116,43.24
94,58.16,27.0,0.07693,43.83
95,25.74,10.0,0.10492,43.74
96,34.69,13.0,0.11122,43.57
97,32.35,13.0,0.09925,43.54
98,53.04,29.0,0.05527,43.58
99,38.65,14.0,0.11739,43.75
100,86.14,48.0,0.05297,44.1
101,74.49,31.0,0.09352,44.81
102,25.39,11.0,0.0872,44.74
103,38.74,16.0,0.09477,44.72
104,51.77,21.0,0.0977,44.81
105,34.66,17.0,0.06924,42.73
106,62.56,21.0,0.13195,42.48
107,34.93,15.0,0.08856,42.58
108,64.49,35.0,0.05618,43.15
109,30.63,14.0,0.07917,43.28
110,32.11,14.0,0.08623,43.29
111,27.43,10.0,0.1162,42.79
112,33.62,17.0,0.06517,42.44
113,26.92,11.0,0.09649,42.38
114,33.98,18.0,0.05917,42.39
115,49.71,28.0,0.05169,42.73
116,42.73,19.0,0.08325,43.05
117,27.74,10.0,0.11825,42.91
118,119.23,57.0,0.07278,44.38
119,28.29,14.0,0.06805,43.67
120,44.74,17.0,0.10877,43.6
121,24.42,12.0,0.06901,43.43
122,35.75,16.0,0.08227,43.51
123,54.35,30.0,0.0541,43.6
124,74.82,40.0,0.05803,44.27
125,91.81,35.0,0.10821,44.75
126,92.48,56.0,0.04343,45.97
127,43.59,17.0,0.10426,46.16
128,32.31,12.0,0.11284,45.58
129,46.22,16.0,0.12592,45.79
130,29.44,14.0,0.07351,45.65
131,26.3,12.0,0.07946,45.67
132,42.8,21.0,0.06921,45.64
133,40.56,22.0,0.05625,45.8
134,34.1,16.0,0.07542,45.8
135,33.22,13.0,0.10369,45.29
136,35.7,15.0,0.09202,44.87
137,27.07,10.0,0.11377,44.71
138,75.12,38.0,0.06511,45.54
139,41.27,16.0,0.10528,45.34
140,33.46,13.0,0.10491,45.26
141,35.11,14.0,0.10052,45.1
142,64.34,37.0,0.04926,45.7
143,37.83,19.0,0.06606,45.3
144,31.96,15.0,0.07537,44.78
145,30.29,17.0,0.05212,44.87
146,31.93,14.0,0.08537,44.81
147,119.11,44.0,0.1138,46.55
148,29.22,15.0,0.0632,46.07
149,35.98,13.0,0.11787,46.02
150,25.9,11.0,0.09031,44.81
151,63.57,27.0,0.0903,44.59
152,46.96,18.0,0.10727,45.02
153,37.53,16.0,0.0897,45.0
154,39.63,21.0,0.05915,44.76
155,30.04,11.0,0.11541,44.67
156,141.75,57.0,0.09912,46.25
157,57.48,28.0,0.0702,46.7
158,31.36,13.0,0.09418,46.04
159,40.2,19.0,0.07438,46.23
160,63.27,24.0,0.1091,46.85
161,62.05,30.0,0.07122,47.54
162,40.68,17.0,0.09286,47.69
163,23.83,9.0,0.10987,47.62
164,76.0,33.0,0.08687,48.46
165,49.88,23.0,0.07792,48.47
166,46.3,25.0,0.0568,48.54
167,38.84,17.0,0.08566,48.76
168,83.37,42.0,0.06567,48.04
169,37.06,21.0,0.05099,48.22
170,32.41,13.0,0.09952,47.97
171,98.06,41.0,0.09278,49.45
172,41.37,18.0,0.08654,49.56
173,25.16,11.0,0.08584,48.97
174,31.13,13.0,0.09298,48.1
175,32.87,16.0,0.0703,46.92
176,63.11,33.0,0.06084,46.34
177,70.89,33.0,0.07655,46.88
178,67.47,33.0,0.06965,47.58
179,41.49,21.0,0.06506,47.49
180,51.81,19.0,0.11511,47.94
181,57.33,31.0,0.05663,48.56
182,53.98,24.0,0.08329,48.78
183,34.38,17.0,0.06817,48.66
184,40.65,16.0,0.10273,48.79
185,19.85,9.0,0.08039,48.52
186,33.6,13.0,0.10562,48.48
187,210.32,88.0,0.09267,52.14
188,42.77,18.0,0.09174,51.5
189,34.95,16.0,0.07896,51.37
190,41.49,14.0,0.13092,51.53
191,38.35,14.0,0.11595,51.6
192,55.06,23.0,0.09292,51.41
193,29.39,13.0,0.08403,51.24
194,87.44,50.0,0.04992,52.35
195,42.12,20.0,0.07375,52.59
196,69.28,31.0,0.08232,53.34
197,149.72,63.0,0.09177,53.95
198,102.16,60.0,0.04684,55.41
199,46.6,25.0,0.0576,55.62
200,31.44,14.0,0.08307,55.73
201,43.12,23.0,0.05831,55.32
202,40.7,21.0,0.06253,55.2
203,90.96,43.0,0.07435,56.26
204,39.9,17.0,0.08981,56.27
205,38.84,18.0,0.07717,56.45
206,29.03,11.0,0.10928,54.19
207,30.57,12.0,0.10315,53.65
208,37.1,15.0,0.0982,53.77
209,26.22,10.0,0.10813,53.49
210,25.22,10.0,0.10144,52.73
211,26.67,12.0,0.08149,52.02
212,42.22,21.0,0.06738,52.05
213,27.95,13.0,0.07665,52.13
214,32.58,13.0,0.10041,51.26
215,44.04,17.0,0.10605,51.15
216,41.43,23.0,0.05341,51.05
217,25.78,11.0,0.08959,50.79
218,56.95,28.0,0.06894,50.26
219,38.24,19.0,0.06749,50.28
220,37.52,19.0,0.06498,50.39
221,54.14,26.0,0.07216,49.51
222,33.85,14.0,0.09453,49.36
223,29.5,12.0,0.0972,49.44
224,33.77,13.0,0.10654,49.5
225,63.86,22.0,0.12684,50.12
226,43.98,19.0,0.08764,49.73
227,47.6,27.0,0.05088,49.27
228,45.07,24.0,0.05852,48.82
229,36.44,16.0,0.08516,48.72
230,22.45,9.0,0.09963,48.13
231,45.55,23.0,0.06537,47.9
232,46.06,25.0,0.05616,47.74
233,26.91,12.0,0.08281,47.59
234,26.2,10.0,0.10797,47.3
235,36.54,17.0,0.07665,47.63
236,35.34,15.0,0.09038,47.67
237,35.83,14.0,0.10397,44.18
238,38.94,19.0,0.06997,44.1
239,54.72,23.0,0.09195,44.5
240,45.47,20.0,0.08491,44.58
241,26.69,13.0,0.07021,44.34
242,140.29,53.0,0.1098,46.05
243,36.55,15.0,0.09579,46.19
244,22.04,10.0,0.08024,44.88
245,32.06,13.0,0.09775,44.68
246,67.48,35.0,0.06187,44.65
247,29.82,13.0,0.08625,42.25
248,26.93,11.0,0.09656,40.74
249,28.17,12.0,0.08983,40.37
250,31.53,14.0,0.08348,40.38
251,113.39,48.0,0.09081,41.78
252,29.59,12.0,0.09771,41.56
253,30.19,14.0,0.0771,40.34
254,28.25,12.0,0.09027,40.11
255,44.36,16.0,0.11815,40.22
256,20.98,9.0,0.08874,40.06
257,79.52,39.0,0.06927,41.04
258,29.36,13.0,0.0839,40.88
259,65.93,36.0,0.05543,41.68
260,26.37,11.0,0.09315,41.7
261,41.55,20.0,0.07184,42.0
262,35.52,16.0,0.08135,41.87
263,36.74,17.0,0.0774,42.04
264,23.71,10.0,0.09139,41.86
265,140.25,68.0,0.07083,43.79
266,28.51,11.0,0.1061,43.53
267,37.0,16.0,0.0875,43.75
268,26.04,11.0,0.09112,43.14
269,26.03,10.0,0.10688,42.89
270,63.65,38.0,0.045,43.41
271,40.79,20.0,0.0693,43.15
272,41.51,15.0,0.11781,43.3
273,42.38,15.0,0.1217,43.56
274,32.82,13.0,0.10164,43.54
275,26.33,13.0,0.06835,42.79
276,44.69,18.0,0.09885,42.8
277,60.19,29.0,0.0717,43.05
278,58.16,27.0,0.07693,43.32
279,53.91,23.0,0.08959,43.67
280,70.62,26.0,0.11441,44.63
281,39.35,19.0,0.0714,44.5
282,36.63,13.0,0.12117,44.32
283,83.82,38.0,0.08039,45.45
284,47.28,23.0,0.07038,45.88
285,71.33,26.0,0.11623,46.57
286,44.51,20.0,0.08168,46.76
287,33.76,14.0,0.09409,46.71
288,21.68,8.0,0.11402,46.37
289,64.98,28.0,0.08804,46.57
290,28.23,10.0,0.12152,46.23
291,118.54,61.0,0.06288,48.07
292,30.84,12.0,0.10469,45.88
293,27.8,10.0,0.11867,45.7
294,35.5,16.0,0.08125,45.97
295,35.51,16.0,0.08131,46.04
296,42.41,20.0,0.0747,45.54
297,53.89,20.0,0.11296,46.02
298,48.52,24.0,0.06811,46.45
299,36.21,15.0,0.09427,46.61
300,49.33,27.0,0.05513,46.97
301,39.58,22.0,0.05327,45.49
302,36.12,17.0,0.07499,45.62
303,85.92,34.0,0.10181,46.74
304,108.87,40.0,0.11479,48.35
305,40.69,22.0,0.05664,48.28
306,48.33,23.0,0.07343,48.82
307,45.29,22.0,0.07057,48.14
308,35.83,16.0,0.08261,48.27
309,29.91,12.0,0.09951,47.55
310,28.06,13.0,0.07725,47.58
311,25.16,9.0,0.11971,47.25
312,54.75,22.0,0.09924,47.64
313,56.79,27.0,0.07357,48.04
314,85.55,37.0,0.08748,49.28
315,88.83,35.0,0.10254,48.25
316,27.93,14.0,0.06631,48.24
317,50.78,25.0,0.06875,48.51
318,44.47,24.0,0.05687,48.88
319,23.92,9.0,0.11054,48.84
320,72.16,29.0,0.09922,49.01
321,33.2,14.0,0.09145,48.86
322,46.77,17.0,0.11675,48.96
323,30.66,13.0,0.09056,48.73
324,36.49,21.0,0.04917,48.8
325,83.22,48.0,0.04891,49.94
326,40.41,17.0,0.0918,49.85
327,33.43,14.0,0.09253,49.32
328,60.71,22.0,0.11731,49.37
329,65.38,27.0,0.09477,49.6
330,55.36,25.0,0.08095,49.29
331,58.54,30.0,0.06341,49.68
332,33.81,13.0,0.10672,49.62
333,66.7,33.0,0.06808,49.28
334,39.49,16.0,0.09788,49.12
335,48.54,26.0,0.05781,48.67
336,49.68,20.0,0.09892,48.77
337,54.75,24.0,0.08542,49.19
338,76.43,37.0,0.07104,50.29
339,26.37,11.0,0.09316,49.51
340,39.06,19.0,0.0704,49.73
341,35.37,13.0,0.11471,48.07
342,23.37,9.0,0.10647,47.92
343,40.34,19.0,0.07486,48.17
344,70.87,39.0,0.05448,48.88
345,38.01,15.0,0.10227,48.93
346,72.98,39.0,0.05809,49.54
347,62.28,26.0,0.09302,49.71
348,40.65,18.0,0.08389,49.55
349,53.56,25.0,0.07615,49.89
350,127.27,60.0,0.07474,51.45
351,24.21,10.0,0.09475,51.15
352,36.19,14.0,0.10567,51.15
353,24.87,9.0,0.11756,49.93
354,38.53,20.0,0.06177,48.52
355,31.5,16.0,0.0646,48.34
356,22.87,9.0,0.10274,47.83
357,36.73,14.0,0.10824,47.66
358,37.09,21.0,0.05108,47.68
359,74.54,37.0,0.06764,48.57
360,37.56,16.0,0.08983,48.76
361,26.29,10.0,0.10859,48.79
362,33.36,15.0,0.0816,48.36
363,26.41,11.0,0.0934,47.75
364,116.22,53.0,0.07953,48.36
365,32.24,12.0,0.11244,47.23
366,33.69,18.0,0.05812,47.35
367,48.86,27.0,0.05398,47.31
368,22.75,9.0,0.10183,46.87
369,44.27,21.0,0.07387,47.28
370,71.45,29.0,0.09759,47.27
371,67.14,25.0,0.11236,47.95
372,108.96,42.0,0.10629,49.19
373,38.25,17.0,0.08335,49.34
374,57.83,32.0,0.05382,49.77
375,57.3,30.0,0.06067,49.25
376,46.45,20.0,0.08817,49.37
377,86.01,49.0,0.05035,50.42
378,49.79,19.0,0.10804,50.2
379,49.77,28.0,0.05183,49.89
380,192.81,58.0,0.15495,52.64
381,40.28,18.0,0.08251,52.28
382,45.85,19.0,0.09421,52.52
383,20.34,8.0,0.1028,51.59
384,40.77,17.0,0.09321,51.61
385,39.67,20.0,0.06555,51.44
386,30.99,15.0,0.07107,51.06
387,48.46,22.0,0.08018,50.94
388,31.89,17.0,0.0584,50.05
389,41.9,26.0,0.04078,50.36
390,28.71,11.0,0.10734,50.15
391,42.73,17.0,0.10089,50.3
392,40.92,16.0,0.10384,50.65
393,56.57,22.0,0.10477,50.97
394,40.87,15.0,0.11498,50.37
395,37.15,16.0,0.08811,50.36
396,25.34,12.0,0.07409,49.4
397,63.5,26.0,0.09615,49.43
398,34.99,14.0,0.09997,49.31
399,53.17,25.0,0.07513,49.31
400,34.46,15.0,0.08651,47.45
401,50.19,22.0,0.08541,47.97
402,61.07,32.0,0.06057,48.47
403,37.59,15.0,0.10042,48.72
404,34.61,15.0,0.08718,48.64
405,39.57,17.0,0.08849,48.8
406,30.32,11.0,0.11708,48.95
407,73.17,38.0,0.0617,49.68
408,38.76,16.0,0.09485,49.72
409,45.91,24.0,0.06085,49.14
410,33.26,13.0,0.10388,49.06
411,104.54,43.0,0.09541,50.62
412,42.46,16.0,0.11023,50.8
413,56.54,26.0,0.07831,51.41
414,38.4,14.0,0.11619,49.85
415,49.51,23.0,0.07683,50.2
416,37.36,16.0,0.08899,50.27
417,43.41,17.0,0.10357,50.16
418,54.76,24.0,0.08546,50.8
419,72.83,37.0,0.06456,51.37
420,49.02,24.0,0.0695,50.92
421,91.39,53.0,0.04829,51.41
422,50.8,23.0,0.08059,50.24
423,49.72,24.0,0.07144,50.47
424,92.09,34.0,0.1139,51.16
425,34.17,14.0,0.09605,50.7
426,34.81,16.0,0.07838,50.46
427,58.37,31.0,0.05885,49.91
428,32.51,15.0,0.07781,49.57
429,37.88,15.0,0.10168,49.33
430,41.56,16.0,0.10652,46.3
431,42.92,22.0,0.06339,46.36
432,29.63,12.0,0.09792,46.03
433,93.29,43.0,0.07797,47.49
434,50.75,28.0,0.05416,47.69
435,32.28,13.0,0.09886,47.54
436,23.45,9.0,0.10701,47.39
437,25.47,11.0,0.08768,46.93
438,29.99,13.0,0.08715,46.89
439,37.71,18.0,0.07299,46.81
440,24.96,9.0,0.11825,46.73
441,31.45,16.0,0.06438,46.51
442,56.43,26.0,0.07804,46.82
443,37.72,13.0,0.12678,46.44
444,36.1,19.0,0.05999,46.35
445,28.41,11.0,0.10554,46.17
446,46.64,24.0,0.0629,46.6
447,39.55,18.0,0.07981,46.12
448,42.14,21.0,0.06711,46.26
449,74.49,30.0,0.09886,46.69
450,29.76,12.0,0.09865,46.59
451,25.26,11.0,0.08644,46.1
452,34.06,17.0,0.06691,45.56
453,89.09,38.0,0.08964,46.59
454,32.19,13.0,0.0984,46.54
455,35.74,15.0,0.09216,46.46
456,44.12,22.0,0.06705,46.74
457,26.8,10.0,0.11202,45.81
458,53.87,23.0,0.08947,46.11
459,36.18,16.0,0.08407,45.92
460,29.13,12.0,0.09516,45.83
461,33.24,13.0,0.10382,44.41
462,30.76,15.0,0.07006,44.17
463,25.12,12.0,0.07288,43.55
464,80.84,27.0,0.13295,44.39
465,59.43,20.0,0.13145,44.59
466,41.77,20.0,0.07256,44.68
467,65.26,37.0,0.05092,45.12
468,29.13,12.0,0.09519,44.61
469,46.6,22.0,0.07453,44.08
470,72.7,25.0,0.1272,44.55
471,96.15,52.0,0.0566,44.65
472,37.63,18.0,0.0727,44.39
473,60.6,26.0,0.08872,44.6
474,24.29,10.0,0.09529,43.25
475,28.85,12.0,0.09361,43.14
476,39.14,21.0,0.0576,43.23
477,29.91,13.0,0.08669,42.66
478,28.87,13.0,0.08138,42.59
479,38.55,16.0,0.09395,42.6
480,38.02,14.0,0.11438,42.53
481,44.76,16.0,0.11982,42.57
482,30.59,12.0,0.10325,42.58
483,76.68,32.0,0.09307,42.25
484,50.58,21.0,0.0939,42.25
485,125.97,67.0,0.05868,44.12
486,63.3,32.0,0.0652,44.92
487,47.23,27.0,0.04994,45.36
488,62.48,28.0,0.0821,46.0
489,42.38,16.0,0.10992,46.1
490,47.19,17.0,0.11839,46.54
491,54.3,20.0,0.11434,47.0
492,36.86,19.0,0.06268,46.61
493,137.31,53.0,0.10605,48.6
494,52.77,20.0,0.10922,48.93
495,30.66,12.0,0.10366,48.98
496,37.7,15.0,0.10089,48.8
497,43.12,18.0,0.09303,48.87
498,29.65,12.0,0.09803,48.62
499,71.4,42.0,0.04667,48.56
500,38.32,15.0,0.10364,48.73
